id,year,method,TFR
44,1965,Interpolation,4.883623
44,1966,Interpolation,4.787659
44,1967,Interpolation,4.689462
44,1968,Interpolation,4.556037
44,1969,Interpolation,4.379615
44,1970,Interpolation,4.212004
44,1971,Interpolation,4.057663
44,1972,Interpolation,3.886331
44,1973,Interpolation,3.726396
44,1974,Interpolation,3.572273
44,1975,Interpolation,3.423651
44,1976,Interpolation,3.296897
44,1977,Interpolation,3.166859
44,1978,Interpolation,3.052074
44,1979,Interpolation,2.937377
44,1980,Interpolation,2.842019
44,1981,Interpolation,2.770598
44,1982,Interpolation,2.708129
44,1983,Interpolation,2.651649
44,1984,Interpolation,2.590995
44,1985,Interpolation,2.545896
44,1986,Interpolation,2.529449
44,1987,Interpolation,2.519654
44,1988,Interpolation,2.519156
44,1989,Interpolation,2.522711
44,1990,Interpolation,2.52
44,1991,Interpolation,2.51
44,1992,Interpolation,2.71
44,1993,Interpolation,2.61
44,1994,Interpolation,2.471501
44,1995,Interpolation,2.419114
44,1996,Interpolation,2.353086
44,1997,Interpolation,2.293216
44,1998,Interpolation,2.232386
44,1999,Interpolation,2.13361
44,2000,Interpolation,2.060227
44,2001,Interpolation,2.019962
44,2002,Interpolation,1.984397
44,2003,Interpolation,1.970668
44,2004,Interpolation,1.97962
44,2005,Interpolation,2.008245
44,2006,Interpolation,2.018574
44,2007,Interpolation,2.035047
44,2008,Interpolation,1.99853
44,2009,Interpolation,2.011301
44,2010,Interpolation,1.836677
44,2011,Interpolation,1.790959
44,2012,Interpolation,1.761405
